Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
BR1-EC_bRNA	11102.685672186368	12682.826472416304	14463.244992607166	16165.951667007663	18227.42298900769	20016.546977707378	21830.770423253412	23977.672223776237	26110.88498348681	28153.98582965741	29496.14265624689	31284.157283443707	32577.090366972887	33392.34623398732	33692.6407593258	34243.46144709193	35090.8968298034	36151.76608581319	37049.39250763261	37580.55821220561	37809.507906388215	37714.298099333064	37293.50135956842	37262.59726376592	37327.934647504284	37291.26463020606	36929.561692968484	36068.94952111733	35290.65151482391	35144.06290293655	34665.11183429532	33869.44209412209	33171.27545516504	32662.86291372563	32393.030015172662	32454.63468466036	32419.234435548216	33065.9664055257	33879.78461577413	34812.80418851439	35359.84507855436	35697.71984723584	36076.73850646802	36069.80935234606	35886.97265607062	35990.413831989594	35900.832739376434	35823.165726945124	35725.750103477054	36072.01808973889	36055.459175810596	35786.89135709969	35275.55267655097	34869.48537334851	33904.51917175974	33086.884689933184	32702.05514135789	32451.35683336291	32220.616273342246	32150.46244301577	32245.398176313633	32465.54212276302	32617.88388613327	32841.22253746258	32858.02732643405	32771.338396417545	32339.24327872213	32053.689545748846	32083.428093705363	32310.79559495427	32667.88206131094	33168.41111906329	33622.65562089979	34107.66112199175	34601.88945438987	34774.60445540473	34878.72733171822	35019.23966171423	35435.30407371897	35730.45387859988	36057.69249931426	36228.97295697405	37122.44345329514	36724.14348764989	36223.259822852255	35776.39408404216	34766.97694404483	34469.51993706944	33134.33470228526	31747.128442355148	30252.39770044692	29088.669911113164	27422.13528800492	24898.40915073151	22048.17535698151	19473.956851839495	16243.341096026747	11263.0590591787	6640.5498069706355	2105.595959265515
BR2-EC_bRNA	13688.378620012216	15293.64887503588	17324.966297662286	19420.775152513786	21985.056503847583	24264.8594917738	26732.06418102444	29430.98700687504	32154.382937508402	34626.99781112066	36617.08935870295	38692.575013261456	39988.857705578965	40574.72110950091	40655.44696693311	41118.60837132925	41771.20637939845	42707.52629291644	43945.21818649448	44395.056853342714	44381.394905629044	43851.43344562882	42773.41746750991	42103.01890342564	41644.647798331054	41230.552204316875	40506.54040550305	39361.51337997095	38196.748799453795	37708.670225977476	37018.610025366244	36334.215418809144	35952.64415385665	35752.30701429241	35583.73098334489	36035.57399727185	36352.96965696853	37359.17575206351	38365.02503252856	39554.6379789263	40407.44895485233	40876.82803133951	41683.33337826575	42041.52575506206	42142.688591642574	42581.21666953868	42875.97364189773	43107.67098806318	43259.391676614745	43719.32997200839	43740.95565445295	43478.376720902656	42783.975161792565	42240.20995193557	40856.02727704596	39692.355179740094	39009.93402214501	38557.08263969843	37977.64206199452	37652.89433750266	37609.422296065226	37824.04191692199	37914.68229089338	37963.95136130246	37811.52930648471	37628.584514576694	36940.91195639959	36492.98620645881	36345.27947384286	36464.73654980534	36952.051313050695	37489.81946042422	38034.279832965076	38712.98803309116	39538.770983774055	40098.545165094845	40564.73973959568	41163.962053076044	41929.58263611	42509.82277906087	43014.22366039461	43323.872521973535	44494.050538709685	44093.44133196322	43510.96281261363	42907.927715257254	41399.96851952023	40867.600820723186	38889.74692634534	36801.44058387676	34619.87017368912	32692.00717205448	30181.98300148409	26991.360474599765	23596.059149440047	20728.624029590814	17246.207244836787	11864.88380328634	7118.288039106149	2294.4326346411935
BR3-EC_bRNA	16407.37633954184	18548.43957557505	21212.499505852666	23970.886718658636	27343.55787570299	30171.168485109425	33057.296736174554	36482.78070871307	39837.24212587612	43022.356847947856	45265.4108871902	47902.91941912625	49610.4926844297	50575.0755398038	50700.1511957749	51431.13633512863	52282.21127354931	53464.57082575937	54977.11778916478	55543.601234767106	55549.09264251192	54738.12780993972	53084.42191327221	51984.14847775567	51403.94092226813	50983.08436036012	50013.26431245482	48511.33758589625	46962.64163243924	46280.900460267454	45299.44795055744	44150.991654009595	43357.45217520068	42880.65056323746	42643.622850936576	43121.84999798582	43513.927639390735	44973.25416058976	46316.455604492185	47901.04963795421	48989.193206301934	49713.06628098411	50895.00123351501	51491.81264775452	51609.57827205903	52040.62118975992	52323.64461922373	52322.034464248165	52468.047771008954	53099.55760384068	53164.611721420166	52741.884950761036	51867.52536903596	51064.12006599942	49351.07678669813	47854.88021678167	47053.27972296328	46418.07751922877	45836.524759077554	45435.85565314293	45404.09678342841	45826.33605833983	45994.721670808634	46029.151711345025	45853.15252018515	45691.52073486714	45001.53311721722	44564.01419067075	44506.55959796905	44759.54794917108	45482.55794872295	46291.549912996015	47065.245328634024	48096.54594347169	49308.69598296847	50052.41028692669	50612.38108404004	51293.451240545604	52242.25008482935	53030.82198486496	53701.400111259594	54062.70788333999	55240.63257515426	54580.06399183468	53775.702864358995	52795.29138925801	50668.09766333593	49463.5167931871	46922.58470729303	44377.68670828792	41550.92833021528	38979.366498221345	35923.07681410114	32266.693157794314	28255.657514072605	24605.908792334267	20326.237054975903	13847.170002024348	8319.025029517283	2680.960619256312
LG1-EC_bRNA	9208.587202941191	10187.115387605278	11412.099544885987	12619.21921617558	14191.713858323665	15439.052558525105	16831.60583102777	18219.593791003455	19399.90992533964	20631.764816117804	21611.953994202217	22716.203594046212	23350.353839960546	23780.12121346072	23825.314679073614	24130.977525823968	24314.646561536843	24625.70763449451	25398.231291050997	25667.807819985446	25582.550249138378	25191.64095074707	24464.007880852332	23880.307687002045	23509.259686185273	23238.998456833968	22883.594062618773	22284.892634806176	21688.318628752688	21438.66858486389	20991.086813540147	20672.665465840193	20603.4004765147	20712.20192807971	20983.037510233276	21336.02139195318	21728.472685447567	22212.342465227517	22704.015332829473	23188.45479045823	23597.04409031658	23877.85025226461	24419.667429621568	24874.378675538537	25031.631052410637	25262.04658839392	25213.058153912498	25112.820702995818	25129.696140623117	25291.402033734073	25268.97098271969	25083.218249091533	24629.657014297307	24223.74256870832	23352.455380571624	22756.204672133303	22513.777544791188	22410.952382092793	22288.635275932007	22275.909895597782	22276.19163885473	22443.68421088368	22508.87077300571	22590.668712097577	22568.57650317221	22550.00977018748	22406.492319813922	22310.91954898317	22374.21240436582	22543.915455862287	22831.30460085202	23160.69036796466	23380.14371293381	23670.235275341307	24162.051019102717	24501.37368495422	24767.990508859708	25097.11574643044	25398.899713796807	25600.51730606921	25657.47566227482	25615.65882751933	26097.898003428567	25855.4822343657	25430.30634727622	25037.337147053215	24193.9298837838	23669.503204484594	22663.9194604048	21705.80820517179	20618.99991858262	19477.922777470638	18063.518791564034	16193.403106229913	14246.816746564005	12600.509022463875	10545.420796215934	7382.583965164707	4454.342034579892	1437.4348239546778
LG2-EC_bRNA	2319.914383281145	2494.2419473819436	2667.4932548645716	2872.7306040085814	3152.9298621283037	3396.100645177809	3661.7915370629694	3921.4854525602013	4147.520047143138	4388.768631633674	4582.516354429276	4809.710396121657	5036.920673256052	5221.025842230276	5377.6351129937875	5593.065433359783	5800.84744686496	5938.564282646793	6200.168280793813	6389.3620935766485	6457.873309350365	6389.474152097912	6273.935316191955	6236.911628819137	6184.096144494041	6037.92893497442	5884.833715554878	5734.482670010045	5529.166809442315	5415.313680822016	5309.4541488038	5237.039313020203	5276.093269599937	5346.196538712482	5357.126828199532	5419.995529171714	5496.967839763189	5592.777114699248	5702.430505478499	5825.137059380052	5927.0830995117685	6010.446137278086	6130.236108316735	6231.687059053377	6349.3497977126935	6506.707754878667	6585.056154385468	6673.07663421493	6797.713675971453	6817.2428470381765	6836.388641944604	6791.729449012623	6712.880797298729	6614.676467697175	6388.331403843679	6225.826325041863	6172.254971999546	6114.425074830462	6040.776433310667	6041.694673861124	6031.347285040675	6110.098548728787	6151.901134624873	6207.247804857788	6243.571262532014	6256.300748272227	6216.84453058097	6242.339820698653	6298.579772078867	6373.492369279339	6510.676268402848	6628.590762567895	6725.0422188985085	6842.773009668211	7046.558686389905	7232.818450502284	7388.621886413158	7531.456415043874	7641.880439415219	7762.439266683431	7849.327607892001	7886.378950884339	7987.939311776431	7940.032132681288	7836.237036195725	7631.672576469686	7264.00852579007	7000.797624327408	6679.483230029443	6277.775542556907	5855.119741290404	5492.054983556	4979.248804058432	4455.927212025145	3989.284353695556	3524.400571758239	2932.0102687978488	2090.061612602523	1265.9449467523937	413.71887351998186
LG3-EC_bRNA	5654.856779889494	6217.862610519848	6893.434411673581	7554.336527390124	8407.477459619442	9147.135003870797	9940.716759801828	10707.348428985839	11369.606061942059	12060.694470433642	12594.873750148843	13260.120702642846	13758.346965164048	14155.400692945637	14350.684710594767	14770.468301618304	15133.39620395112	15411.007658543087	15902.648615484804	16130.330951380605	16085.997380217068	15711.527525552066	15200.780968359864	14848.551647641974	14615.651161216938	14362.196324656861	14098.175782628208	13746.24244499824	13391.58590935827	13228.541616786568	12947.315062649392	12786.894891534235	12824.38739506887	12947.090533194378	13085.467998197162	13348.955726290855	13652.636129768749	13965.363040101289	14292.490573053476	14650.006641725722	14968.439812056837	15197.899151339327	15562.461392326366	15864.239040348233	15994.0622210319	16191.369587572399	16191.726896113709	16211.09520982189	16337.842083178406	16472.977732348132	16437.223857521574	16275.662831130792	15994.538951247992	15704.071312083728	15147.002602260292	14778.80104253983	14655.168352199571	14568.141282233792	14493.309261018112	14547.124547730638	14575.097887683009	14748.862757801646	14776.630532196354	14829.163936185223	14837.011964317726	14871.198389824405	14783.485940314464	14767.534665154719	14893.79651170085	15049.833998106027	15335.92627229844	15598.587244009252	15814.475861626997	16071.445863055977	16504.604008720256	16777.693506856398	16983.614658408707	17266.16758752103	17424.695572862718	17540.746100055047	17602.650120910355	17610.331697520065	17797.51253746055	17559.5230043223	17200.891476825338	16790.390707268223	16092.406517398067	15592.531665999899	14834.713903156564	14040.496648949602	13181.54123024124	12359.581876234564	11338.704255921053	10084.496235147437	8881.453113087238	7836.048295723829	6515.032549713029	4581.367720459295	2783.005602883729	907.3187825340797
LV1-EC_bRNA	11756.5527451158	14030.46085121263	16748.077452930134	19584.6017097606	22994.3925638428	25964.31242266734	28750.87481873886	32450.475231926768	36210.887604075164	40236.58860424274	42618.28660481297	45774.991190422224	48305.22592455838	49509.742700912226	50105.56026956423	51080.92322684886	52726.96754731034	54167.23203497082	55656.05743943527	56309.59982844682	56480.14678678567	56185.983884649344	54967.096211470795	53667.75089790356	52786.734748601135	52192.475305142594	50593.11718343447	48644.11295136501	46075.15528626952	44810.21775104492	43429.27194503928	41621.218193397195	40248.91523080037	39812.02041445869	39477.48529381705	40015.62592426547	40200.79097521761	41206.707904376126	42831.76414377949	44900.75304186012	46467.396654311284	47358.37673289324	48684.62820150005	49425.70795231395	49611.615643172554	50110.14707230433	50460.09540463262	51116.937004166306	51622.26064543124	52185.01558826915	51984.748481214054	51703.889207023014	50612.798162639614	49908.61333768856	47933.07867841919	46411.32771272526	45651.86596664207	44647.56492381458	43853.96062329097	43548.13444832652	43460.47042384802	43728.130460576445	43913.917305110954	43942.51284340337	43491.12649366822	43049.18297211342	42090.52176768043	41456.261038375094	41458.64729579181	41888.61154581261	42703.62559884556	43660.72220944682	44573.120113954996	45914.6463434378	47430.96981784621	48409.8709441212	49689.019664257205	51141.72879108736	52681.69551906982	53521.44134393325	54237.582730141294	54855.65108826561	55381.77629950994	54094.69286643411	52388.6816534131	51578.95250751589	49421.22761747784	47170.209415382036	43963.93434860771	41062.65952957866	37965.441757006425	34896.51170268486	31614.54363679254	27789.786876784005	24407.66909499246	20884.055631457548	16730.968832602262	11669.205687394142	6658.271245787703	2154.433052255619
LV2-EC_bRNA	13549.071557421421	16184.090039982058	18894.791963034997	22003.595146750646	25504.82780686162	28984.037407832067	32034.652863278432	36289.07521637313	40363.002282444446	44847.29751035751	47552.8801109627	51282.25822962568	54981.09894677273	57589.589074054864	59611.47861010536	61794.47995148829	64837.252858680644	66971.88363125149	69531.63633391583	71380.88845117518	72644.13624794521	72566.70623299073	70895.66241625231	69208.60175913278	67380.23806008977	66188.45091911973	64134.85072128329	61642.746060493366	57919.03765439928	55577.88833632845	53020.48098268229	50393.498927136934	48737.69009795181	48369.16365949343	47782.00339505598	48936.30263452934	50084.20319031169	52362.923224407015	54973.94858673945	57891.93585266199	60189.884127446494	61989.26424591296	63713.65672240086	64722.250989596374	65658.82370815834	67036.70603021378	68485.42100974079	69968.55015445403	71703.39806995195	72704.9990725969	72882.66843954002	73344.99825187784	73129.6836447396	72860.13345814208	71259.754073292	69715.08968939405	69136.7530412917	67621.93404514056	66315.05420648611	65443.247253535905	64188.12854788839	64450.58702318144	64533.440178858335	64284.567952166304	63209.39101481607	61901.12633231965	60218.24429864931	59944.89061593816	60770.66482322265	61664.52306469789	63075.15294833142	64026.49648394494	64845.27915333552	66371.46498044506	68628.57112835384	70376.86089327952	72191.97917124903	74310.7773616575	76529.01865797647	78557.90022836355	80640.54920058767	82675.45576415208	84363.84000736431	83517.19818583012	82157.69427399716	81335.04156022334	77913.80018467596	74189.04579625648	69442.71287512887	65383.93526278315	59781.015374346665	53602.963028766324	47175.437270231145	41039.30875155016	35562.6884974214	28964.867664971716	22693.669244549343	16019.737133926217	9098.851169443464	2934.6809045688
LV3-EC_bRNA	16805.59373359975	19645.575331869797	23255.644505978104	26998.492142261373	31311.02111445139	34784.84105663294	38344.88670314401	42429.458799433836	46585.38248135522	50737.441550146046	52936.31480901167	56666.94177588362	59358.52234946807	61083.16086576073	61460.39555996895	62371.89740881903	63941.35457567921	65424.02591620097	66251.38400555548	66521.95598615667	66379.08490412965	65700.83382554862	63844.16210869917	62239.969877974945	61066.036293526	60218.77473881213	58525.77045929262	56483.46728918764	54172.66984096194	52975.19686875226	51361.70168174849	49494.09956739403	48203.16669988741	47763.10516859515	48078.280874447846	49175.376821740494	49922.276718315305	51491.71670606869	53545.569493357434	55840.433646937745	57159.80952792584	57941.2784272525	59294.38923942209	60040.39499232259	59922.02659044905	60330.95064397203	60342.80294482954	60483.3046434663	60590.28538139478	61453.31278559192	61295.64268524822	61150.85529113132	60268.5430254077	59489.75568206536	57546.59688986647	56245.56848053252	55794.15439455256	55038.57390944938	54485.440937402906	54113.13722513632	53948.64464250344	54211.83811131271	54367.9955412714	54461.27145834544	53903.90854363135	53455.561352191384	52462.54275227286	51737.95242302535	51575.088965930816	51978.384043244216	52841.27991360181	53982.06398525312	54871.295414708184	56186.76603061431	57733.54333083959	58658.23492744655	59760.13585694522	61046.346913786845	62228.86159508872	62637.17150807688	62843.41917837751	63113.27261011985	63442.25531346332	62078.036364685264	60322.07067218324	59309.37329888696	57165.57175427677	54907.32282124665	51660.111127409524	48975.16985036059	45723.22777695955	42368.350800839195	38715.484829715344	34277.05784665955	30090.688720406008	25728.82373112797	20711.434711231737	14463.671226038494	8486.144091777716	2757.7412072867346
