Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X	Y	*
BR1-EC_bRNA	[4230573, 130694993]	[4931378, 122082543]	[3328631, 120129022]	[3204440, 120421639]	[3721015, 124902244]	[2633242, 104043685]	[3242133, 98207768]	[5772067, 94987271]	[2449476, 90702639]	[4006788, 61431566]	[5786850, 195471971]	[6593713, 182113224]	[4321928, 160039680]	[3957553, 156508116]	[5456084, 151834684]	[5112836, 149736546]	[4468757, 145441459]	[3610091, 129401213]	[4218587, 124595110]	[8112689, 16299]	[1920409, 171031299]	[108052, 91744698]	[0, 0]
BR2-EC_bRNA	[4179232, 130694993]	[5237768, 122082543]	[3281269, 120129022]	[3253896, 120421639]	[3896436, 124902244]	[2821830, 104043685]	[3376112, 98207768]	[7018827, 94987271]	[2455188, 90702639]	[4278090, 61431566]	[5755467, 195471971]	[6630461, 182113224]	[4393973, 160039680]	[4066562, 156508116]	[5787637, 151834684]	[5244558, 149736546]	[5043727, 145441459]	[3859897, 129401213]	[4400382, 124595110]	[7621140, 16299]	[1863174, 171031299]	[130408, 91744698]	[0, 0]
BR3-EC_bRNA	[4819516, 130694993]	[6407902, 122082543]	[3716760, 120129022]	[3598486, 120421639]	[4377099, 124902244]	[3142168, 104043685]	[4004222, 98207768]	[8584446, 94987271]	[2755992, 90702639]	[4795411, 61431566]	[6570233, 195471971]	[7575145, 182113224]	[4894708, 160039680]	[4572107, 156508116]	[6423615, 151834684]	[6178156, 149736546]	[6054865, 145441459]	[4192377, 129401213]	[4848888, 124595110]	[10408132, 16299]	[2089205, 171031299]	[96548, 91744698]	[0, 0]
LG1-EC_bRNA	[2229293, 130694993]	[3583452, 122082543]	[2148953, 120129022]	[1989709, 120421639]	[1998837, 124902244]	[2063345, 104043685]	[2100588, 98207768]	[4681454, 94987271]	[1635907, 90702639]	[2110153, 61431566]	[3551021, 195471971]	[3915000, 182113224]	[2317218, 160039680]	[2449242, 156508116]	[3321342, 151834684]	[3098854, 149736546]	[2838386, 145441459]	[2397236, 129401213]	[2582255, 124595110]	[2139822, 16299]	[1028949, 171031299]	[38281, 91744698]	[0, 0]
LG2-EC_bRNA	[454619, 130694993]	[780059, 122082543]	[527312, 120129022]	[407217, 120421639]	[412020, 124902244]	[480312, 104043685]	[487240, 98207768]	[1223638, 94987271]	[357918, 90702639]	[379625, 61431566]	[710110, 195471971]	[886653, 182113224]	[428738, 160039680]	[504259, 156508116]	[716074, 151834684]	[698720, 149736546]	[607595, 145441459]	[581187, 129401213]	[596656, 124595110]	[312346, 16299]	[194057, 171031299]	[12334, 91744698]	[0, 0]
LG3-EC_bRNA	[1193746, 130694993]	[2041892, 122082543]	[1251050, 120129022]	[1073828, 120421639]	[1077795, 124902244]	[1173195, 104043685]	[1180469, 98207768]	[2952886, 94987271]	[905626, 90702639]	[1087708, 61431566]	[1931321, 195471971]	[2223231, 182113224]	[1199173, 160039680]	[1285880, 156508116]	[1806518, 151834684]	[1746558, 149736546]	[1556564, 145441459]	[1393530, 129401213]	[1468718, 124595110]	[1191209, 16299]	[528695, 171031299]	[37782, 91744698]	[0, 0]
LV1-EC_bRNA	[4376108, 130694993]	[4301208, 122082543]	[2532874, 120129022]	[2800334, 120421639]	[2872643, 124902244]	[3027916, 104043685]	[3098068, 98207768]	[7357867, 94987271]	[1961943, 90702639]	[2281710, 61431566]	[6026848, 195471971]	[5768740, 182113224]	[2837844, 160039680]	[4277005, 156508116]	[3639927, 151834684]	[3849058, 149736546]	[3404511, 145441459]	[3844457, 129401213]	[3764603, 124595110]	[22088898, 16299]	[1900154, 171031299]	[64763, 91744698]	[0, 0]
LV2-EC_bRNA	[4604600, 130694993]	[4664150, 122082543]	[3104304, 120129022]	[3154897, 120421639]	[3065689, 124902244]	[3630001, 104043685]	[3830558, 98207768]	[11206306, 94987271]	[2155515, 90702639]	[2219864, 61431566]	[7436650, 195471971]	[6577090, 182113224]	[3041077, 160039680]	[4642685, 156508116]	[3949935, 151834684]	[4696981, 149736546]	[3573576, 145441459]	[4296819, 129401213]	[4353563, 124595110]	[29385554, 16299]	[1936006, 171031299]	[109038, 91744698]	[0, 0]
LV3-EC_bRNA	[5268569, 130694993]	[4965892, 122082543]	[3030060, 120129022]	[3356392, 120421639]	[3438118, 124902244]	[3814484, 104043685]	[3656516, 98207768]	[8989162, 94987271]	[2370728, 90702639]	[2931391, 61431566]	[6946033, 195471971]	[6847880, 182113224]	[3519242, 160039680]	[4816607, 156508116]	[4311379, 151834684]	[4440968, 149736546]	[3865326, 145441459]	[4428991, 129401213]	[4595572, 124595110]	[21565633, 16299]	[2269206, 171031299]	[80748, 91744698]	[0, 0]
