Sample	sum_pct_a	sum_pct_c	sum_pct_g	sum_pct_t	sum_pct_n	cycle_count	mean_pct_a	mean_pct_c	mean_pct_g	mean_pct_t
BR_EC_ATAC_REP1_R1	1279.9003950000001	1220.123758	1218.8813309999998	1281.064769	0.029747000000000003	50	25.598007900000002	24.402475159999998	24.377626619999997	25.621295380000003
BR_EC_ATAC_REP1_R2	1282.184534	1218.0098799999996	1216.54261	1283.1956900000002	0.06728199999999998	50	25.64369068	24.360197599999992	24.3308522	25.663913800000003
BR_EC_ATAC_REP2_R1	1367.489681	1132.1305920000002	1131.9624419999998	1368.3866939999998	0.030598	50	27.34979362	22.642611840000004	22.639248839999997	27.367733879999996
BR_EC_ATAC_REP2_R2	1370.0210539999998	1129.60873	1129.472096	1370.8324219999997	0.065698	50	27.400421079999997	22.5921746	22.58944192	27.416648439999996
BR_EC_ATAC_REP3_R1	2029.155759	1766.7510049999999	1764.76409	2030.5530989999997	8.776046999999997	76	26.69941788157895	23.246723749999997	23.220580131578945	26.717803934210522
BR_EC_ATAC_REP3_R2	2029.5079739999999	1766.707434	1764.783793	2030.983955	8.016851	76	26.704052289473683	23.24615044736842	23.220839381578948	26.723473092105262
BR_EC_ATAC_REP4_R1	1947.799875	1847.8652300000006	1845.9830649999997	1949.3888679999995	8.962966999999999	76	25.62894572368421	24.314016184210534	24.289250855263152	25.649853526315784
BR_EC_ATAC_REP4_R2	1947.2353179999998	1848.865327	1846.574295	1949.1215740000002	8.203484	76	25.62151734210526	24.327175355263158	24.297030197368418	25.646336500000004
LG_EC_ATAC_REP1_R1	2067.4637699999994	1727.5588099999998	1727.349545	2068.943123999999	8.684752	76	27.20347065789473	22.73103697368421	22.728283486842106	27.22293584210525
LG_EC_ATAC_REP1_R2	2067.905601	1727.5735770000003	1727.1502860000003	2069.4190049999997	7.951537	76	27.20928422368421	22.731231276315793	22.72566165789474	27.229197434210523
LG_EC_ATAC_REP2_R1	2038.4513449999997	1757.211048999999	1756.0778469999996	2039.7052419999995	8.554523999999999	76	26.821728223684207	23.121198013157883	23.10628746052631	26.838226868421046
LG_EC_ATAC_REP2_R2	2039.2377259999998	1756.7920329999995	1755.8631079999998	2040.3544540000003	7.7526720000000005	76	26.83207534210526	23.115684644736834	23.10346194736842	26.846769131578952
LG_EC_ATAC_REP3_R1	2064.848325	1730.2831240000003	1730.0257030000005	2065.8748339999997	8.968008999999997	76	27.169056907894735	22.76688321052632	22.76349609210527	27.182563605263155
LG_EC_ATAC_REP3_R2	2065.426483	1729.862373	1729.7030889999999	2066.777809	8.230247000000002	76	27.17666425	22.761347013157895	22.75925117105263	27.19444485526316
LG_EC_ATAC_REP4_R1	1330.8030849999996	1169.265363	1168.1422300000002	1331.7629059999997	0.026417	50	26.616061699999992	23.38530726	23.362844600000003	26.635258119999992
LG_EC_ATAC_REP4_R2	1332.645446	1167.337918	1166.183775	1333.7826679999998	0.050191999999999994	50	26.65290892	23.34675836	23.3236755	26.67565336
LV_EC_ATAC_REP1_R1	1360.2924859999998	1139.165489	1138.9480859999999	1361.5638880000001	0.030045000000000002	50	27.205849719999996	22.78330978	22.778961719999998	27.23127776
LV_EC_ATAC_REP1_R2	1362.672016	1136.91608	1136.673483	1363.6744549999996	0.06396500000000002	50	27.25344032	22.7383216	22.73346966	27.273489099999992
LV_EC_ATAC_REP2_R1	2066.1069949999996	1733.4103719999998	1732.5797520000003	2067.5128320000003	0.39004999999999995	76	27.185618355263152	22.808031210526313	22.797102000000006	27.20411621052632
LV_EC_ATAC_REP2_R2	2067.7326700000003	1731.1521249999996	1730.4686799999993	2069.750681	0.8958380000000001	76	27.20700881578948	22.77831743421052	22.769324736842094	27.233561592105264
LV_EC_ATAC_REP3_R1	2053.952634999999	1745.2253969999997	1744.163549	2056.265647	0.3927770000000001	76	27.025692565789463	22.96349206578947	22.94952038157895	27.05612693421053
LV_EC_ATAC_REP3_R2	2055.0834409999993	1743.7146689999995	1743.0294740000002	2057.269602	0.9028130000000003	76	27.040571592105255	22.94361406578947	22.934598342105264	27.06933686842105
