Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	X
BR_EC_ATAC_REP1	3400536	3150378	2891682	2986922	2780184	2563246	2379082	2547600	2202498	1584856	4882352	4518936	3839970	3855224	3896252	3818590	3972386	3549018	3085558	1723700
BR_EC_ATAC_REP2	3650710	3718700	3364050	3459926	3385542	3169158	2888708	3002630	2770046	1874400	5756310	5225908	4504636	4781538	4520504	4343150	4393396	3920706	3550700	2098132
BR_EC_ATAC_REP3	1402900	1364560	1283192	1302966	1208140	1157888	1044202	1069084	965830	660714	2088028	1932296	1704830	1765418	1696536	1637754	1659352	1459142	1369730	763892
BR_EC_ATAC_REP4	1304870	1209502	1129822	1125402	1064682	974852	912836	985398	852844	586800	1928852	1771190	1527038	1551630	1466742	1447208	1549822	1325384	1213954	673936
LG_EC_ATAC_REP1	1387588	1458078	1235234	1334096	1251684	1155646	1054742	1160620	1017520	656034	2208166	1989274	1712174	1947978	1762586	1665774	1673466	1517540	1485232	700770
LG_EC_ATAC_REP2	1089362	1141406	978604	930550	910534	852428	740144	812328	747680	540042	1460648	1477918	1288868	1342348	1322290	1218914	1360416	1184204	1040302	498876
LG_EC_ATAC_REP3	1448232	1514594	1288434	1413908	1327768	1243172	1084618	1144012	1016068	666402	2256682	2102050	1887336	1849464	1806728	1685056	1715864	1592074	1490372	751170
LG_EC_ATAC_REP4	2590682	2515240	2309632	2231744	2277552	2020634	1903134	2000856	1720456	1148654	3900422	3590806	2981324	3338650	3116364	2962324	3109480	2763332	2536032	1360026
LV_EC_ATAC_REP1	3597634	3413930	3173286	3027340	3146458	2863418	2599102	2703606	2409784	1610174	5380508	4924660	4215210	4347500	4290618	4025252	4000172	3668706	3409186	1887138
LV_EC_ATAC_REP2	773452	793280	685476	700594	653762	607518	547614	616210	513402	361370	1160456	1084572	862444	952746	966676	889684	911988	822886	759536	449204
LV_EC_ATAC_REP3	611942	644162	559430	543970	539214	496108	453008	500046	419698	295508	935554	889314	724660	790570	779190	730570	765370	659784	618306	428342
