Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X	Y
BR_EC_ATAC_REP1_T1	5132598	4881281	4754701	4561261	4747389	3730613	3454772	3995132	3171597	2272831	12192839	8997777	5552710	5705358	5660908	5704509	6002873	5068735	6106418	30642654	2973773	1488228
BR_EC_ATAC_REP2_T1	5378962	5418547	5263783	5107278	5966848	4414804	4006919	4326496	3810877	2572644	9236974	10545725	6287389	6748395	6340566	6166388	6424645	5393045	8136444	7866872	3609056	2034892
BR_EC_ATAC_REP3_T1	2639862	2736457	2632521	2511088	2596098	2087211	1971014	2038340	1786693	1280605	6101580	4768361	3060251	3326036	3088890	3108686	3131752	2674876	3251250	15357333	1799642	866675
BR_EC_ATAC_REP4_T1	2383553	2325643	2304572	2108857	2166958	1743076	1688090	1840058	1541621	1077394	6553934	4144665	2713384	2842012	2621231	2697255	2806789	2345342	2682536	19529060	1597726	654186
LG_EC_ATAC_REP1_T1	2490308	2640509	2411477	2421998	2530570	1957610	1828488	2019010	1721574	1159940	5179249	4497326	2890421	3361251	3003164	2901652	2969284	2581141	3374609	9038149	1598457	785671
LG_EC_ATAC_REP2_T1	1895494	2025977	1852566	1687492	1814905	1424832	1287103	1416780	1248325	929039	3629167	3308417	2131754	2300678	2209948	2103305	2326169	1960366	2373178	7263573	1153073	602725
LG_EC_ATAC_REP3_T1	2327647	2432226	2207249	2274781	2380406	1881262	1657190	1799591	1530944	1033426	3888164	4110088	2834520	2867548	2755953	2604615	2719991	2402074	3142059	3125459	1478699	756693
LG_EC_ATAC_REP4_T1	4759533	4573142	4520358	4150455	4641824	3574491	3337367	3639157	3008283	2011002	9879874	7751122	5240323	5916920	7529798	5286171	5651723	4800806	5478931	18398957	2951111	1592274
LV_EC_ATAC_REP1_T1	5489435	5142640	5154781	4702916	5636444	4171761	3768210	4032973	3470787	2313531	9195017	9863441	6130536	6412754	6262221	5953488	6067615	5273199	7458354	8695668	3418259	1999194
LV_EC_ATAC_REP2_T1	1344452	1368585	1290426	1233459	1281744	1013453	928084	1055812	857802	607316	2327283	2332653	1452192	1620144	1606087	1529308	1583213	1364318	1731975	2561273	914832	392858
LV_EC_ATAC_REP3_T1	1078023	1111027	1058774	968501	1052747	837292	778901	857314	713678	499867	2152201	1879788	1244916	1360087	1300217	1277532	1329284	1103008	1345719	3584013	884234	261614
