Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
BR_EC_ATAC_REP1_T1_1										5.399783986650585	1.788281629623541	5.552914449971828	4.147169193776617	11.866079027349054	1.7553339873838714	0.29715117117787726																																																																																																																																																																																													
BR_EC_ATAC_REP1_T1_2										5.097263173112859	1.7973769425573511	5.590408648950345	4.138303448209162	12.024098957224053	1.4290534717537617	0.23236475725921146																																																																																																																																																																																													
BR_EC_ATAC_REP2_T1_1										3.329957041277392	1.4338495537258027	4.57793668354689	1.9250448838435967	1.5287278143687784	0.35700345287784724	0.6616507026246962																																																																																																																																																																																													
BR_EC_ATAC_REP2_T1_2										3.2778412289392307	1.4673519064560285	4.5339502644121845	1.9965837833605333	1.4612937782958535	0.3840916048355392	0.6222936556893914																																																																																																																																																																																													
BR_EC_ATAC_REP3_T1_1										7.054507093293403	4.088380968115496	7.673688150230087	2.86228662927589	1.99554416731988	0.0785116810859098	0.0																																																																																																																																																																																													
BR_EC_ATAC_REP3_T1_2										7.235688031138842	2.9692945242243116	6.668847939956329	2.578316044074589	1.4828798363699318	0.027611050110007897	0.0																																																																																																																																																																																													
BR_EC_ATAC_REP4_T1_1										7.909312101782436	3.8656512830750875	7.947273963154086	3.8420810220523918	3.405716421807818	0.04003026987327649	0.0																																																																																																																																																																																													
BR_EC_ATAC_REP4_T1_2										7.5494021976938015	2.7907109477872343	7.79388318463009	3.43648989128644	2.5499206798787184	0.015466324634790387	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP1_T1_1										6.899431361163684	2.635970956412416	5.0594798964634755	1.1002509570624834	0.34107524066599376	0.0	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP1_T1_2										6.068198582049026	2.2399411893964607	4.807654416363202	0.8697797760494834	0.21222507047456535	0.0	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP2_T1_1										6.984124551959179	2.571326348499353	5.139431839350063	0.869295087824761	0.17860464921519925	0.0	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP2_T1_2										6.155858562181779	2.3078858641404567	5.034855739285096	0.6782264266999589	0.13882621950318863	0.0	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP3_T1_1										4.239617114306158	3.3328906113995425	2.301896255108247	0.14943651135226857	0.12780595481344154	0.0	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP3_T1_2										4.672842263483757	1.8017756018524858	1.3083167071663926	0.14239390982177264	0.09328767445142888	0.0	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP4_T1_1										3.0294430427285746	1.3031594539853606	4.592549327374956	3.367470323691937	7.119749319758317	0.39373134717486424	10.99034287693141																																																																																																																																																																																													
LG_EC_ATAC_REP4_T1_2										2.9883263969756206	1.2926862911566408	4.526707855913955	3.3678446047445285	7.115048106181256	0.3520716915370073	10.943858031166558																																																																																																																																																																																													
LV_EC_ATAC_REP1_T1_1										3.3217748656869945	1.4999327852520719	4.6206875918663	2.143408139970627	1.786628886414368	0.3185619645274142	0.4293488188674797																																																																																																																																																																																													
LV_EC_ATAC_REP1_T1_2										3.2611434875796976	1.3917576057469156	4.673607816601233	2.1122297467769746	1.6602073433680724	0.28814777278809167	0.43724328870742246																																																																																																																																																																																													
LV_EC_ATAC_REP2_T1_1										3.621800053406743	1.6621135081880516	3.8539782703892493	0.4186531106271377	0.4602376337461299	0.0	0.0																																																																																																																																																																																													
LV_EC_ATAC_REP2_T1_2										3.376427166126729	1.6183977159440195	3.2328350870229032	0.27922190522514545	0.3485778093889795	0.0	0.0																																																																																																																																																																																													
LV_EC_ATAC_REP3_T1_1										3.997035659197517	2.027641239874743	5.597555067590918	0.9435367465999598	0.210850616597105	0.0	0.0																																																																																																																																																																																													
LV_EC_ATAC_REP3_T1_2										3.825467391890549	2.032125440282745	4.874136796555258	0.567940158343578	0.1437107453001206	0.0	0.0																																																																																																																																																																																													
