Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
BR_EC_ATAC_REP1_T1_1										5.413991683405246	1.6728496652547915	5.373696791373537	4.165403166603446	12.355107591488458	1.908790457693135	0.3320977755246565																																																																																																																																																																																													
BR_EC_ATAC_REP1_T1_2										5.064455781358366	1.6627117771371824	5.375577136949765	4.174530937152529	12.457262993932321	1.6457316588290976	0.32486738702308604																																																																																																																																																																																													
BR_EC_ATAC_REP2_T1_1										3.2423674614248146	1.440809941041227	4.675392371850742	2.0023299706747135	1.6309053918183598	0.35991547758315284	0.6951153595011328																																																																																																																																																																																													
BR_EC_ATAC_REP2_T1_2										3.236908431674205	1.4761960021984715	4.636239825793284	2.0511543663378373	1.5465755010350808	0.3589155466697591	0.7655119860037771																																																																																																																																																																																													
BR_EC_ATAC_REP3_T1_1										5.350470432131258	3.924726398039375	9.149859377924638	4.421740829718595	4.348187036175022	0.156005350115738	0.030410521775079764																																																																																																																																																																																													
BR_EC_ATAC_REP3_T1_2										5.571002145351867	3.03328971987926	8.131015347337248	4.130477163126786	3.371336057048087	0.14919741689650193	0.0																																																																																																																																																																																													
BR_EC_ATAC_REP4_T1_1										5.470016170341138	3.4182441922228475	8.67172729245091	5.435657727821688	7.1754235213965405	0.16246046307143747	0.0375458058788144																																																																																																																																																																																													
BR_EC_ATAC_REP4_T1_2										5.323672925221118	2.3387856538680043	8.591233831889577	5.194892172592739	5.787806350955991	0.06706175680828988	0.03764532772024461																																																																																																																																																																																													
LG_EC_ATAC_REP1_T1_1										5.744712852184616	2.853347511736344	7.283377787165603	2.561228315200231	1.2201485964155305	0.09535363327584301	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP1_T1_2										5.243823163613867	2.3694337378571086	7.130778824222964	2.2847990332291968	0.8020870026934813	0.08869464441774258	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP2_T1_1										5.955801799639952	3.0279665890309584	7.681125419160324	2.215240408514216	0.7002195513550304	0.06924192583148527	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP2_T1_2										5.319312894960099	2.611325856869137	7.618266667071072	1.9336350203180026	0.5125691864458914	0.06580918118111861	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP3_T1_1										4.5521300307957455	3.946309788371401	4.237283318284887	0.31439884290360565	0.3188426795633606	0.10634720999064115	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP3_T1_2										5.114133681186868	2.5900702445781247	2.8979327960211467	0.2547266055850205	0.2830880549177294	0.09745176802552781	0.0																																																																																																																																																																																													
LG_EC_ATAC_REP4_T1_1										2.9272426539110277	1.2313465189263584	4.592553992873103	3.5341337030654194	7.66575989503189	0.5440873871246763	10.506453857627433																																																																																																																																																																																													
LG_EC_ATAC_REP4_T1_2										2.868415983412853	1.2115167632632193	4.577285100663741	3.5088332797052244	7.592167777246206	0.46772424804555485	10.615880040659967																																																																																																																																																																																													
LV_EC_ATAC_REP1_T1_1										3.227036728309491	1.5013476566228277	4.718178940551228	2.2355993462360044	1.8541537791962441	0.3744987607745836	0.4405513796526445																																																																																																																																																																																													
LV_EC_ATAC_REP1_T1_2										3.1422934027824216	1.4085995289329822	4.750680408055487	2.1934586920630132	1.776205922598453	0.3141671863459761	0.5344799128887137																																																																																																																																																																																													
LV_EC_ATAC_REP2_T1_1										4.062458955650116	2.1907182971964123	5.965609268117682	0.9283087131375666	0.5916014810516818	0.34066527710992944	0.0																																																																																																																																																																																													
LV_EC_ATAC_REP2_T1_2										3.633848116100369	2.108264435252578	5.522074562065065	0.7043032779958317	0.5109976368113395	0.3149082097540236	0.0																																																																																																																																																																																													
LV_EC_ATAC_REP3_T1_1										3.803032693046568	2.404631055920121	8.442995359557228	2.272630925107663	0.5359246230815299	0.10045975662929893	0.0																																																																																																																																																																																													
LV_EC_ATAC_REP3_T1_2										3.5650233059485235	2.325160116672036	7.858889837474399	1.813686044911479	0.4158978021335754	0.08933135848061134	0.0																																																																																																																																																																																													
