Sample	x	y
BR_EC_ATAC_REP1	205.122513939281	41.9296664508378
BR_EC_ATAC_REP2	90.7287548902477	-25.6232290516279
BR_EC_ATAC_REP3	159.067776754989	9.40785334189531
BR_EC_ATAC_REP4	216.47819436501	47.2905452128114
LG_EC_ATAC_REP1	-69.8515500662918	-131.548078484248
LG_EC_ATAC_REP2	-68.3588204017449	-131.246572469455
LG_EC_ATAC_REP3	-89.0791316080484	-140.204923347938
LG_EC_ATAC_REP4	-82.7214875877046	-30.084174250506
LV_EC_ATAC_REP1	-73.5728295689352	4.00117712804237
LV_EC_ATAC_REP2	-147.207611224136	119.281898982849
LV_EC_ATAC_REP3	-140.605809492667	236.795836487338
