Sample	x	y
BR_EC_ATAC_REP1	156.811775981203	-28.9592861946425
BR_EC_ATAC_REP2	69.0390237538276	31.6533529319935
BR_EC_ATAC_REP3	137.581681936756	3.79580475323812
BR_EC_ATAC_REP4	180.919914558729	-30.244743980809
LG_EC_ATAC_REP1	-60.1930071429061	101.283838704183
LG_EC_ATAC_REP2	-64.274341181707	119.870006687569
LG_EC_ATAC_REP3	-80.1752855329215	112.562982127219
LG_EC_ATAC_REP4	-67.9196622825821	-18.4641402394447
LV_EC_ATAC_REP1	-69.1050751504972	-1.07324460269174
LV_EC_ATAC_REP2	-110.907898939072	-112.322716504504
LV_EC_ATAC_REP3	-91.7771260008305	-178.101853682111
