# ALPHA = 0.05
# NUMBER_OF_TESTS = 24

# _SET1_  VARIABLE = LG_module1 (set)
# _SET1_  NGENES = 520
# _SET1_  P-VALUE = 6.06191e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   163259        1  115117155  115247732    503      64  468195     -0.11535      0.37352   -2.2204e-16     -0.11535
_SET1_   81839         1  116149574  116250845    469      73  469103       1.0178     0.063794   -2.2204e-16       1.0178
_SET1_   914           1  117262057  117321851    242      77  465052      -1.4612      0.82966   -2.2204e-16      -1.4612
_SET1_   4853          1  120444176  120674880    329      55  449934      0.19187      0.26855   -2.2204e-16      0.19187
_SET1_   8515          1  145489709  145553868    153      38  411800      -0.7432      0.57874   -2.2204e-16      -0.7432
_SET1_   3570          1  154342669  154451926    461      71  473686      0.19527      0.24282   -2.2204e-16      0.19527
_SET1_   1944          1  155016348  155070014    156      58  458839      -0.5617      0.51386   -2.2204e-16      -0.5617
_SET1_   1942          1  155065349  155117386    172      33  467441     0.079832      0.29698   -2.2204e-16     0.079832
_SET1_   9047          1  156766035  156821640    208      44  472120       3.0683   0.00021904             0       3.0683
_SET1_   375033        1  156828496  156896226    284      52  473231      -1.9828      0.94226   -2.2204e-16      -1.9828
_SET1_   2207          1  161150087  161199038    187      64  467606       5.0028   2.0947e-08             0       5.0028
_SET1_   2212          1  161440205  161499360    236      66  462136       1.6584     0.015013   -2.2204e-16       1.6584
_SET1_   2213          1  161597905  161658444    143      47  464844      0.30093      0.21679   -2.2204e-16      0.30093
_SET1_   9722          1  162004581  162349813   1738     123  469668      0.27796      0.21189   -2.2204e-16      0.27796
_SET1_   387597        1  166872441  166979576    333      54  466620      0.10999      0.28346   -2.2204e-16      0.10999
_SET1_   9019          1  167656187  167771156    538      62  462683      0.72757      0.11126   -2.2204e-16      0.72757
_SET1_   6403          1  169548087  169634377    472      82  471985     -0.44909      0.47657   -2.2204e-16     -0.44909
_SET1_   6402          1  169649806  169715843    422      51  469048      -1.3063      0.80388   -2.2204e-16      -1.3063
_SET1_   27            1  179058462  179233819    645      52  466273     -0.75374      0.60913   -2.2204e-16     -0.75374
_SET1_   81563         1  184321150  184608155   1267      85  463769      0.50937      0.15844   -2.2204e-16      0.50937
_SET1_   83872         1  185668683  186170085   2187      70  436799      -1.3863      0.80151   -2.2204e-16      -1.3863
_SET1_   5743          1  186630944  186684559    239      34  470424      -1.1431      0.78786   -2.2204e-16      -1.1431
_SET1_   343450        1  196184913  196612690   1582      78  434722     -0.41617      0.46044   -2.2204e-16     -0.41617
_SET1_   5778          1  202106141  202165716    327      71  466038       1.5781     0.018621   -2.2204e-16       1.5781
_SET1_   5287          1  204381756  204498943    557      72  465384      -2.0437      0.94178             0      -2.0437
_SET1_   947           1  208049883  208119742    345      50  472764       2.2408    0.0037914             0       2.2408
_SET1_   7188          1  211464849  211558403    335      56  470765     -0.32969      0.47057   -2.2204e-16     -0.32969
_SET1_   7779          1  211738381  211787099    217      70  472009       1.3636     0.033251   -2.2204e-16       1.3636
_SET1_   79762         1  220828628  220882499    279      38  470327     -0.40324      0.51591   -2.2204e-16     -0.40324
_SET1_   55083         1  245283287  245876428   3239     323  470809      0.30486      0.20393   -2.2204e-16      0.30486
_SET1_   9781          2    7022523    7219011    889      97  471035      -1.1887      0.74206   -2.2204e-16      -1.1887
_SET1_   8853          2    9311894    9555812    996     102  464331        2.377    0.0018383             0        2.377
_SET1_   6382          2   20390558   20460194    300      42  471383      0.28449      0.22831   -2.2204e-16      0.28449
_SET1_   388           2   20611835   20659201    228      61  470018       -1.165      0.74378   -2.2204e-16       -1.165
_SET1_   22979         2   25229973   25392004    600      65  462463       1.2693     0.038896   -2.2204e-16       1.2693
_SET1_   30845         2   31421880   31501260    498      90  472967     -0.48811      0.48893   -2.2204e-16     -0.48811
_SET1_   25780         2   33626416   33799798    887     172  471107       1.9094    0.0080569   -2.2204e-16       1.9094
_SET1_   6654          2   39198690   39382686    686      49  465599      0.83422       0.1176   -2.2204e-16      0.83422
_SET1_   5581          2   45843454   46425129   3008     299  469088     -0.60027      0.53424   -2.2204e-16     -0.60027
_SET1_   307           2   69912946   70063596    569      47  466070      0.32189      0.21414   -2.2204e-16      0.32189
_SET1_   7039          2   70664412   70816147    692      88  470583       -1.663      0.87268   -2.2204e-16       -1.663
_SET1_   26056         2   73290510   73375146    301      38  469636       1.4786     0.028091   -2.2204e-16       1.4786
_SET1_   1796          2   74741147   74794678    110      42  464925       1.3694     0.054048   -2.2204e-16       1.3694
_SET1_   4118          2   95656400   95729737    171      81  445974       1.7945     0.010971   -2.2204e-16       1.7945
_SET1_   11138         2  101613690  101802858    837      64  465338     -0.18517      0.37774   -2.2204e-16     -0.18517
_SET1_   3554          2  102651836  102806334    802      99  464228      0.27718      0.20853   -2.2204e-16      0.27718
_SET1_   8809          2  102944093  103025230    438      44  464530     -0.58768      0.53357   -2.2204e-16     -0.58768
_SET1_   8807          2  103000254  103079025    409      35  469759     -0.16339      0.38405   -2.2204e-16     -0.16339
_SET1_   6549          2  103201166  103337809    548      72  466873      0.14549      0.25259   -2.2204e-16      0.14549
_SET1_   8440          2  106326520  106520730   1045      75  465605        3.564   2.2621e-05             0        3.564
_SET1_   3625          2  121068719  121119383    236      93  456632     -0.70149      0.56644   -2.2204e-16     -0.70149
_SET1_   2995          2  127378426  127464251    482      86  465767     -0.16794      0.35327   -2.2204e-16     -0.16794
_SET1_   80122         2  135712076  135817301    330      41  471364       2.7551   0.00070005             0       2.7551
_SET1_   7852          2  136861919  136910725    165      39  463920      0.85139     0.096773   -2.2204e-16      0.85139
_SET1_   390           2  151314707  151379209    251      62  471827      0.48192      0.16353   -2.2204e-16      0.48192
_SET1_   26225         2  152647480  152720009    258      57  463742    0.0028664      0.35811   -2.1944e-16    0.0028664
_SET1_   114793        2  153156684  153516348   1561     113  467414     0.043251       0.2836   -2.2204e-16     0.043251
_SET1_   9595          2  158261131  158335604    256      67  465209       1.2639     0.050876   -2.2204e-16       1.2639
_SET1_   4065          2  160649866  160796267    751      67  471103       2.0121    0.0061449             0       2.0121
_SET1_   2888          2  165339323  165513360    572      94  464576      0.61477      0.13037   -2.2204e-16      0.61477
_SET1_   22837         2  165526695  165733678    919      68  470257     -0.37447      0.45665   -2.2204e-16     -0.37447
_SET1_   29081         2  170658267  170716439    272      33  476032     -0.38114      0.50408   -2.2204e-16     -0.38114
_SET1_   3655          2  173256954  173381181    643      63  473105    -0.074846      0.35382   -2.2204e-16    -0.074846
_SET1_   3685          2  187419058  187555629    415      71  451717     -0.30055      0.39805   -2.2204e-16     -0.30055
_SET1_   165215        2  187523789  187640686    372      50  456625    -0.090585      0.33843   -2.2204e-16    -0.090585
_SET1_   6775          2  191884302  192072404    670     110  468721      0.27678      0.21336   -2.2204e-16      0.27678
_SET1_   57181         2  196442798  196612426    569      70  464341       1.1911     0.046412   -2.2204e-16       1.1911
_SET1_   659           2  203206033  203442474    679      63  463865       0.9208     0.083378   -2.2204e-16       0.9208
_SET1_   114790        2  220427593  220491173    208      82  467121       2.2044    0.0036345             0       2.2044
_SET1_   2043          2  222272747  222472010    832      91  471037    -0.063658      0.32411   -2.2204e-16    -0.063658
_SET1_   55619         2  225619807  225942330   1424     128  465404       2.0986    0.0043121             0       2.0986
_SET1_   3667          2  227586033  227699545    414      67  468767     -0.36446      0.50453   -2.2204e-16     -0.36446
_SET1_   10123         2  235391685  235440721    223      85  464570       1.2436     0.038901   -2.2204e-16       1.2436
_SET1_   23677         2  235825628  235974358    772     135  461832      0.83418     0.089505   -2.2204e-16      0.83418
_SET1_   57007         2  237434424  237501001    337      56  468195       1.2534     0.050941   -2.2204e-16       1.2534
_SET1_   151835        3    9710510    9781592    243      99  461202      0.40924      0.18799   -2.2204e-16      0.40924
_SET1_   6533          3   14409076   14540857    628     134  466995     -0.75072      0.58501   -2.2204e-16     -0.75072
_SET1_   80852         3   14520396   14618588    538      74  473634      -1.4135      0.81889   -2.2204e-16      -1.4135
_SET1_   23473         3   15212733   15304423    375      47  457149     -0.89172      0.69564   -2.2204e-16     -0.89172
_SET1_   7048          3   30612994   30745634    606     105  469019     -0.11108      0.34047   -2.2204e-16     -0.11108
_SET1_   3680          3   37458813   37871281   1878     160  466178       0.5606      0.13968   -2.2204e-16       0.5606
_SET1_   10217         3   37868669   38035960    648      84  463246       1.2851     0.044014   -2.2204e-16       1.2851
_SET1_   1524          3   39294985   39358226    336      60  463408      -1.4149      0.81985   -2.2204e-16      -1.4149
_SET1_   1238          3   42815964   42918775    344      55  463817      0.23378      0.23307   -2.2204e-16      0.23378
_SET1_   10663         3   45949973   45999845    235      54  466414      -0.3141      0.43279   -2.2204e-16      -0.3141
_SET1_   1234          3   46376633   46427697    242      45  466699     -0.41413      0.47884   -2.2204e-16     -0.41413
_SET1_   9034          3   46413721   46464488    285      35  469841      -1.1925      0.78169   -2.2204e-16      -1.1925
_SET1_   1154          3   50633885   50684262    126      30  465841       2.1757    0.0062478             0       2.1757
_SET1_   54106         3   52245096   52295179    160      48  462113      -2.1004      0.95164             0      -2.1004
_SET1_   50650         3   56751446   57148336   1762     176  471507       2.0055    0.0058589             0       2.0055
_SET1_   54756         3   57114010   57239345    443      60  469125       1.3897     0.031955   -2.2204e-16       1.3897
_SET1_   201627        3   57601181   57713816    385      43  468071       1.6719     0.016816   -2.2204e-16       1.6719
_SET1_   56999         3   64491330   64708676   1063     129  468010     -0.98102      0.67599   -2.2204e-16     -0.98102
_SET1_   6091          3   78636388   79852059   4514     214  464391     -0.28022      0.40658   -2.2204e-16     -0.28022
_SET1_   961           3  107751941  107844935    306      55  469234      0.80037      0.10023   -2.2204e-16      0.80037
_SET1_   25945         3  110755606  110923017    498      63  465505      0.63225      0.16862   -2.2204e-16      0.63225
_SET1_   4345          3  112016194  112091659    367      41  460473      -0.1175      0.35545   -2.2204e-16      -0.1175
_SET1_   151888        3  112172813  112253438    313      47  461155     -0.92051       0.7092   -2.2204e-16     -0.92051
_SET1_   344807        3  112524556  112599797    404      42  467204     -0.32625      0.44827   -2.2204e-16     -0.32625
_SET1_   131450        3  112631532  112728950    475      66  472814     -0.86441      0.65823   -2.2204e-16     -0.86441
_SET1_   91653         3  112894850  113016306    618      93  471258      -1.6809      0.88097   -2.2204e-16      -1.6809
